Phần,Thời gian,Scripts,Concept kỹ thuật
,00:42 - 01:00,"""Vậy tại sao trường đại học lại không thể bị thay thế? Hãy nhìn vào sự khác biệt cốt lõi: Trong khi khối công nghiệp mải miết lao theo các quy luật mở rộng, đổ hàng tỷ đô-la để biến các mô hình thành những chiếc 'hộp đen' khổng lồ và tập trung vào việc làm cho nó chạy;""","- Ký hiệu dễ làm: Xuất hiện một Hình vuông lớn màu đen đặc chiếm nửa bên phải màn hình mang nhãn chữ HỘP ĐEN CÔNG NGHIỆP. Một mũi tên chỉ hướng đi lên kèm ký hiệu đô-la ($\$$) nhấp nháy liên tục bên cạnh hình vuông để thể hiện việc mở rộng.  
- Cách chuyển cảnh: Giữ nguyên hình vuông đen, hiển thị tiếp ký hiệu cho vế đối lập ở bên trái."
,01:00 - 01:22,"""thì giới học thuật lại chọn cách lùi lại một bước để trả lời câu hỏi tối thượng: Tại sao nó chạy? và Làm sao để tối ưu nó từ gốc rễ? Chúng ta mang đến sự minh bạch, tính mở và tư duy khoa học nghiêm túc. Chúng ta không cần sở hữu cả một đại dương dữ liệu để hiểu về dòng chảy của nước.""","- Ký hiệu dễ làm: Ở nửa bên trái màn hình, hiện dòng chữ lớn TẠI SAO NÓ CHẠY? màu xanh dương. Phía dưới hiện một Hình tròn nét đứt màu xanh (biểu thị tính mở/minh bạch) bao quanh một Hình giọt nước nhỏ mang nhãn chữ Tri thức gốc rễ.  
- Cách chuyển cảnh: Toàn bộ khung cảnh cũ biến mất (FadeOut)."
,01:22 - 01:48,"""Nhiệm vụ của học thuật là soi kính hiển vi vào sâu bên trong cấu trúc ma trận thần kinh, bóc tách cơ chế hoạt động ẩn giấu, từ đó phát triển nên các giải pháp hiệu quả về mặt tính toán để bổ khuyết cho các nỗ lực quy mô lớn ngoài kia. Một trong những minh chứng rõ ràng nhất cho tư duy này chính là hướng nghiên cứu về đánh giá, nghĩa là hiểu rõ những gì các mô hình hiện tại có thể làm được và không thể làm được. Một ví dụ điển hình là SWE bench được phát triển bởi một nhóm sinh viên Princeton và được công bố tại hội nghị ICLR 2024. Công cụ này đánh giá xem các mô hình ngôn ngữ có thể thực hiện các nhiệm vụ kỹ thuật phần mềm thực tế hay không và hiện nay nó đã được hầu hết các phòng thí nghiệm tiên tiến áp dụng.""","- Ký hiệu dễ làm: Xuất hiện một Hình chữ nhật màu xanh dương đóng vai trò như một cái nhãn mang chữ SWE-bench (ICLR 2024). Bên dưới hiện hai dấu ký hiệu đơn giản: Dấu tích xanh [✓] Có thể làm và Dấu gạch chéo đỏ [✗] Không thể làm.  
- Cách chuyển cảnh: Nhãn chữ SWE-bench dịch chuyển lên phía trên góc màn hình để nhường chỗ cho các nhãn tiếp theo."
,01:48 - 02:05,"""Hay là công cụ đánh giá CharXiv do nhóm nghiên cứu của Danqi Chen xây dựng vào năm 2024 dùng để đánh giá khả năng hiểu biểu đồ trong các bài báo khoa học và hiện nay nó được sử dụng để đánh giá các mô hình mới nhất của OpenAI hoặc gần hơn là hai bài báo về tiêu chuẩn đo lường và so sánh hiệu năng là SorryBench cho việc từ chối an toàn và HELMET cho các mô hình ngôn ngữ ngữ cảnh dài.""","- Ký hiệu dễ làm: Xuất hiện liên tiếp 3 nhãn chữ đặt thành một hàng dọc: CharXiv (Biểu đồ), SorryBench (An toàn), và HELMET (Ngữ cảnh dài) bằng hiệu ứng hiện hình đơn giản.  
- Cách chuyển cảnh: 3 nhãn chữ này cùng thu nhỏ lại và dạt sang một bên."
,02:05 - 02:22,"""Ngoài ra một hướng nghiên cứu quan trọng khác là khả năng giải thích cơ chế. Thay vì chấp nhận mô hình như một khối hộp đen bí ẩn, các nhà nghiên cứu học thuật đang nỗ lực phân tích ngược (Reverse Engineer) những gì thực sự diễn ra bên trong mạng lưới thần kinh. Mục tiêu của chúng ta là bóc tách, định vị chính xác từng thành phần, từng mạch thuật toán cụ thể để giải mã lý do tại sao mô hình lại đưa ra những hành vi hay quyết định như vậy. Đây là một lĩnh vực nghiên cứu vô cùng hấp dẫn, đang phát triển mạnh mẽ và là nơi chất xám của các sinh viên đại học đang làm chủ cuộc chơi.""","- Ký hiệu dễ làm: Hiện một dòng chữ REVERSE ENGINEER ở tâm màn hình. Một Mũi tên chỉ ngược hướng từ Phải sang Trái đi xuyên qua dòng chữ này, đâm vào một chuỗi 3 Hình tròn nhỏ kết nối nhau (mô phỏng mạch thuật toán cụ thể).  
- Cách chuyển cảnh: Toàn bộ chữ và hình tròn biến mất (FadeOut)."
,02:22 - 02:42,"""Nói một cách tổng quát hơn, có rất nhiều cơ hội thú vị dành cho các nhà nghiên cứu ngay cả khi không tự mình huấn luyện các mô hình. Bạn có thể nghiên cứu các tác nhân được xây dựng dựa trên các mô hình tiên tiến để giải quyết những nhiệm vụ thực sự khó khăn. Bạn có thể nghiên cứu phân tích lý thuyết, kỹ thuật suy luận và hỗ trợ cho các mô hình ngôn ngữ. Ngoài ra, còn có rất nhiều vấn đề thực sự quan trọng về chính sách an toàn và việc sử dụng các mô hình ngôn ngữ để tạo ra tác động trên các lĩnh vực học thuật khác. Nhưng để hiện thực hóa sứ mệnh đó, chúng ta phải học cách đối mặt và sống chung với thực tế phũ phàng của những ràng buộc học thuật. Có ba bức tường rào cản khổng lồ đang chặn đứng các phòng lab đại học.""","- Ký hiệu dễ làm: Xuất hiện đồng thời 3 dấu gạch đầu dòng chữ lớn xếp thẳng hàng: 1. Tác nhân (Agents), 2. Lý thuyết & Suy luận, 3. Chính sách an toàn. Khi đọc đến câu ""Ba bức tường rào cản khổng lồ"", 3 dòng chữ này biến mất, thay thế bằng 3 Hình chữ nhật lớn nằm ngang màu xám chặn giữa màn hình.  
- Cách chuyển cảnh: Tập trung vào hình chữ nhật thứ nhất ở câu sau."
,02:42 - 02:56,"""Thứ nhất là Sự thiếu hụt năng lực tính toán, nơi ngân sách học thuật chỉ cho phép chạy những thực nghiệm quy mô cực kỳ nhỏ. Chúng ta hãy thử xem xét, vì nguồn lực có thể là rất khác nhau rất nhiều giữa các trường đại học nên để có một hệ quy chiếu chung, chúng ta sẽ giả định ngân sách từ 100 đến 1000 giờ chạy trên các GPU chuyên dụng như A100 hay H100 (trong đó A100, H100 là các GPU chuyên dụng cho AI/datacenter được phát triển bởi NVIDIA). Vậy con số này có ý nghĩa gì? Điều đó có nghĩa là nếu bạn sở hữu 8 GPUs, thì quá trình huấn luyện chính sẽ mất từ nửa ngày đến một tuần. Và theo một phép tính sơ bộ, toàn bộ tài nguyên đó chỉ chiếm vỏn vẹn 0,001% tổng lượng tính toán được sử dụng để xây dựng nên một mô hình tiên phong như GPT-4 hay Claude. Một giọt nước nhỏ nhoi hoàn toàn bị lép vế trước đại dương tài nguyên khổng lồ của khối công nghiệp.""","- Ký hiệu dễ làm: Trên hình chữ nhật thứ nhất hiện nhãn chữ 1. COMPUTE. Cạnh đó xuất hiện một Hình tròn xanh siêu nhỏ mang con số 0.001% đặt cạnh một Hình tròn đỏ khổng lồ mang con số 100% để tạo sự tương phản cực hạn.  
- Cách chuyển cảnh: Tiêu điểm chuyển dịch xuống hình chữ nhật thứ hai."
,02:56 - 03:03,"""Thứ hai là Rào cản hạ tầng kỹ thuật (Infrastructure) thô sơ, buộc sinh viên phải tận dụng từng giờ trống của một GPU đơn lẻ trong đêm muộn để tích lũy hoàn thành một mô hình.""","- Ký hiệu dễ làm: Trên hình chữ nhật thứ hai hiện nhãn chữ 2. INFRASTRUCTURE. Xuất hiện một ký hiệu chữ đơn giản: 02:00 AM nhấp nháy kế bên icon một hình vuông nhỏ mang chữ 1x GPU.  
- Cách chuyển cảnh: Tiêu điểm chuyển dịch xuống hình chữ nhật thứ ba."
,03:03 - 03:10,"""Và thứ ba là Sự độc quyền dữ liệu (Proprietary Data) từ các tập đoàn lớn. Ba rào cản này đặt ra một bài toán hóc búa: Làm sao để các đội ngũ nghiên cứu với quy mô nhân sự rất nhỏ có thể tạo ra những công trình mang tính bứt phá? Câu trả lời nằm ở ba chiến lược cốt lõi ngay sau đây.""","- Ký hiệu dễ làm: Trên hình chữ nhật thứ ba hiện nhãn chữ 3. PROPRIETARY DATA. Khi đọc đến câu ""Ba chiến lược cốt lõi"", cả 3 hình chữ nhật lớn màu xám đồng loạt chuyển màu (Transform) sang màu xanh dương học thuật và hiện ra 3 mũi tên chỉ thẳng về phía trước. 
- Cách chuyển cảnh: Toàn bộ màn hình tắt đèn đen hoàn toàn (FadeOut) để kết thúc Phần 2 dứt khoát."
Phần 3: Lĩnh vực SLMs,00:00 - 00:11,"""Chiến lược đầu tiên và cũng là vũ khí sắc bén nhất của giới học thuật chính là: Mô hình ngôn ngữ quy mô nhỏ (Small Language Models), quy mô từ 1 đến 10 tỷ tham số.""","- Ký hiệu dễ làm: Từ màn hình đen, xuất hiện dòng chữ tiêu đề chương lớn ở trên cùng: TRỤ CỘT 1: SMALL LANGUAGE MODELS. Ngay phía dưới, xuất hiện một Hình tròn màu xanh dương nhỏ (bán kính radius=0.5) mang nhãn chữ: SLMs (1B - 10B).
- Chuyển cảnh: Giữ nguyên hình tròn xanh, dịch chuyển (shift) nhẹ lên góc trên để tạo không gian bên dưới."
,00:11 - 00:15,"""Tại sao hướng đi này lại bùng nổ mạnh mẽ trong hai năm qua dưới cái tên SLMs?""","- Ký hiệu dễ làm: Một Dấu chấm hỏi lớn (?) màu vàng xuất hiện ngay bên cạnh hình tròn xanh SLMs.
- Chuyển cảnh: Dấu chấm hỏi biến mất nhanh chóng."
,00:15 - 00:18,"""Lý do hiển nhiên: học thuật không đủ tiền chạy đua mô hình lớn.""","- Ký hiệu dễ làm: Xuất hiện một dòng chữ màu đỏ gạch ngang: [✗] Ngân sách học thuật để chạy đua mô hình lớn.
- Chuyển cảnh: Dòng chữ đỏ biến mất, nhường chỗ cho luận điểm quan trọng hơn."
,00:18 - 00:26,"""Nhưng quan trọng hơn, các mô hình nhỏ cực kỳ dễ chạy, dễ tinh chỉnh và hoàn hảo cho các ứng dụng chạy trực tiếp trên thiết bị cá nhân hoặc thiết bị biên.""","- Ký hiệu dễ làm: Xuất hiện 3 nhãn chữ xếp thành hàng dọc dưới hình tròn xanh: + Dễ chạy | + Dễ tinh chỉnh | + Thiết bị biên. Một Hình chữ nhật bo góc đơn giản (mô phỏng màn hình điện thoại) tự vẽ bao quanh cụm chữ này.
- Chuyển cảnh: Toàn bộ khung hình chữ nhật và chữ biến mất (FadeOut), đưa màn hình về trạng thái trống."
,00:26 - 00:35,"""Hãy nhìn vào số liệu thực tế, nếu bạn xem xét số lượt tải xuống của bốn mô hình Llama 3, thì lượt tải xuống của các mô hình Llama-3 ở phiên bản 3B và 8B vượt trội hoàn toàn so với phiên bản 70B khổng lồ.""","- Ký hiệu dễ làm: Vẽ 3 hình chữ nhật đứng (Rectangle) làm biểu đồ cột: hai cột mang nhãn chữ 3B và 8B vọt cao rực rỡ, đặt cạnh một cột mang nhãn chữ 70B khổng lồ nhưng chiều cao cột tải xuống lại nằm thấp lè lè dưới đáy.
- Chuyển cảnh: 3 cột đồ thị dịch chuyển lùi sang một bên."
,00:35 - 00:43,"""Bước ngoặt lịch sử xảy ra vào đầu năm 2023, khi Llama-1 phiên bản 13B chính thức đánh bại huyền thoại GPT-3 175B của OpenAI.""","- Ký hiệu dễ làm: Xuất hiện nhãn chữ Llama-1 13B màu xanh dương kèm một mũi tên chỉ sang ngang, đẩy văng nhãn chữ GPT-3 175B của OpenAI ra khỏi màn hình để biểu thị sự đánh bại.
- Chuyển cảnh: Toàn bộ các nhãn chữ biến mất sạch sẽ (FadeOut)."
,00:43 - 00:48,"""Chúng ta sẽ đặt câu hỏi: Liệu giới học thuật có thể tạo ra các mô hình nhỏ hơn nữa, như 1B hay 3B không?""","- Ký hiệu dễ làm: Xuất hiện dòng chữ câu hỏi màu vàng nằm ở tâm màn hình: Giới học thuật tự tạo mô hình 1B / 3B?.
- Chuyển cảnh: Giữ nguyên câu hỏi, chuẩn bị đưa câu trả lời dội gáo nước lạnh vào."
,00:48 - 00:57,"""Nhưng khi đặt bút tính toán, bạn sẽ lập tức bị dội một gáo nước lạnh: để huấn luyện một mô hình 3B trên 1 nghìn tỷ token từ con số 0, bạn cần đến 30.000 giờ GPU.""","- Ký hiệu dễ làm: Dòng chữ câu hỏi cũ biến mất. Một dòng chữ thông số chi phí xuất hiện rực sáng: Huấn luyện 3B từ đầu (1 Nghìn tỷ Tokens) =. Ngay sau dấu bằng, xuất hiện con số khổng lồ ""30.000 GIỜ GPU"" màu đỏ nhấp nháy liên tục ở trung tâm.
- Chuyển cảnh: Giữ nguyên con số đỏ để kết luận luận điểm."
,00:57 - 01:12,"""Một con số không tưởng, vượt xa mọi nguồn lực học thuật. Để vượt qua giới hạn nghẹt thở đó, chúng ta bắt buộc phải thông minh hơn.""","- Ký hiệu dễ làm: Xuất hiện một dòng chữ dấu gạch chéo màu đỏ đè lên con số: [✗] Vượt xa nguồn lực học thuật. Sau đó, xuất hiện một dòng chữ màu xanh dương kiên định ở dưới: BẮT BUỘC PHẢI THÔNG MINH HƠN.
- Chuyển cảnh: Toàn bộ khung cảnh biến mất dứt khoát (FadeOut), chuẩn bị cho giải pháp từ Princeton."
,01:12 - 01:17,"""Đó là lý do dự án Sheared LLaMA ra đời tại Princeton.""","- Ký hiệu dễ làm: Xuất hiện nhãn chữ lớn rực sáng màu xanh dương ở trung tâm: DỰ ÁN: SHEARED LLAMA (PRINCETON).
- Chuyển cảnh: Dòng chữ tiêu đề thu nhỏ lại và đẩy lên góc trên cùng màn hình."
,01:17 - 01:26,"""Tư duy ở đây rất đơn giản: thay vì còng lưng huấn luyện mô hình 3B tham số từ đầu, tại sao không lấy một mô hình lớn đã được huấn luyện tốt sẵn có — như Llama 7B — rồi gọt giũa nó xuống thành 3B?.""","- Ký hiệu dễ làm: Xuất hiện một Hình vuông khổng lồ màu đỏ mang nhãn chữ Llama 7B ở bên trái. Vẽ một mũi tên chỉ sang một Hình vuông nhỏ màu xanh dương mang nhãn chữ mục tiêu 3B ở bên phải để thị giác hóa việc gọt giũa.
- Chuyển cảnh: Hình vuông nhỏ biến mất, tiêu điểm dồn vào hình vuông lớn Llama 7B để phân tích hai bước."
,01:26 - 01:29,"""Quy trình này gồm hai bước.""","- Ký hiệu dễ làm: Hiện hai con số dạng chữ lớn ở tâm: BƯỚC 1 và BƯỚC 2.
- Chuyển cảnh: Tập trung làm rõ bước một."
,01:29 - 01:39,"""Bước một: chúng ta cô lập và tái sử dụng một 'mạng con' (subnetwork) từ mô hình 7B ban đầu bằng kỹ thuật Cắt tỉa cấu trúc (Structural Pruning).""","- Ký hiệu dễ làm: Bao quanh hình vuông lớn Llama 7B xuất hiện một Hình hộp viền nét đứt màu xanh mang nhãn chữ: Mạng con (Subnetwork). Dưới chân hiện tên kỹ thuật: Structural Pruning (Cắt tỉa cấu trúc).
- Chuyển cảnh: Giữ nguyên hình vuông để mô phỏng hành động chặt phăng cấu trúc thừa ở câu sau."
,01:39 - 01:49,"""Chúng ta chặt phăng các đầu chú ý (attention heads) và các chiều trung gian thừa thãi để ép mô hình khớp chính xác với kiến trúc mục tiêu: 32 lớp, 20 đầu, chiều ẩn 2560.""","- Ký hiệu dễ làm: Một đường thẳng nằm ngang (Line) đóng vai trò như lưỡi dao quét qua, hai khối chữ nhỏ mang tên attention heads và chiều trung gian thừa thãi bị đẩy bay ra ngoài màn hình. Hiện thông số kiến trúc mục tiêu bằng chữ rõ ràng: 32 Lớp \| 20 Đầu \| Chiều ẩn 2560.
- Chuyển cảnh: Khối thông số kiến trúc di chuyển ra giữa màn hình."
,01:49 - 01:53,"""Về mặt bản chất, đây là một bài toán tối ưu hóa có ràng buộc.""","- Ký hiệu dễ làm: Bao quanh thông số kiến trúc xuất hiện một Hình hộp chữ nhật màu xám mang nhãn chữ: Bài toán tối ưu hóa có ràng buộc.
- Chuyển cảnh: Giữ nguyên hình hộp để đưa cơ chế toán học vào ở câu sau."
,01:53 - 02:00,"""Chúng ta mô hình hóa mỗi quyết định cắt tỉa như một biến che phủ (masking variable), rồi dùng hệ số nhân Lagrange để ép kiến trúc co lại vuông vức.""","- Ký hiệu dễ làm: Xuất hiện một công thức chữ Lagrange tối giản ở góc màn hình. Dưới tác động của công thức, hình hộp chữ nhật màu xám cũ co thắt lại thành một Hình vuông xanh dương hoàn hảo vuông vức.
- Chuyển cảnh: Hình vuông xanh dương dịch chuyển sang một bên để hiển thị tỷ lệ tài nguyên ở câu sau."
,02:00 - 02:18,"""Điều kỳ diệu là bước cắt tỉa này cực kỳ rẻ, chỉ ngốn đúng 1% tài nguyên. 99% tài nguyên còn lại sẽ được dồn vào bước hai: tiếp tục huấn luyện (Continued Pre-training) để mô hình hồi phục tri thức.""","- Ký hiệu dễ làm: Vẽ một thanh ngang chia tỉ lệ dài (Progress Bar) gồm hai đoạn màu tương phản: một đoạn nhỏ màu đỏ chiếm nhãn chữ 1% Tài nguyên (Cắt tỉa), nối liền với một đoạn rất dài màu xanh dương chiếm nhãn chữ 99% Tài nguyên (Huấn luyện tiếp tục để hồi phục tri thức).
- Chuyển cảnh: Toàn bộ thanh chia tỉ lệ và chữ biến mất sạch sẽ (FadeOut)."
,02:18 - 02:23,"""Kiến trúc đã xong, nhưng chúng ta sẽ cho mô hình 'ăn' dữ liệu gì để hồi phục?""","- Ký hiệu dễ làm: Xuất hiện dòng chữ câu hỏi màu vàng ở tâm: Mô hình sẽ ăn dữ liệu gì để hồi phục tri thức?.
- Chuyển cảnh: Dòng chữ câu hỏi biến mất, mở ra bệ phóng nguồn mở ở câu sau."
